What is the name of the main protagonist in The Legend of Zelda series?|Zelda|Link|Fiskebolle
#What is the name of the recurring main antagonist in the Zelda series?|Zelda|Ganon
#What is the name of the mystical golden triangles that are a central theme in the series?|Zelda|The Triforce|triforce
#In Ocarina of Time, what is the name of Link's horse?|Zelda|Epona
#What tribe is Ganondorf the king of?|Zelda|The Gerudo|gerudo
What is the name of the sacred sword that Link often wields?|Zelda|The Master Sword|master sword
In which game does Link travel to the parallel world of Lorule?|Zelda|A Link Between Worlds
What is the name of the fairy that accompanies Link in Ocarina of Time?|Zelda|Navi
Which mask transforms Link into a fierce deity in Majora's Mask?|Zelda|Fierce Deity's Mask
What race of bird-like people live in the sky in Skyward Sword and Breath of the Wild?|Zelda|The Rito|rito
What is the name of Nintendo's iconic plumber mascot?|Nintendo|Mario
Which Nintendo console introduced motion controls to the mainstream?|Nintendo|Wii
What is the name of the pink, round character who can inhale enemies and copy their abilities?|Nintendo|Kirby
What is the name of the space-faring bounty hunter in the Metroid series?|Nintendo|Samus Aran|samus
Which game series is set in the Mushroom Kingdom?|Nintendo|Super Mario
What is the name of Donkey Kong's nephew who wears a red cap?|Nintendo|Diddy Kong
Which handheld console was the successor to the Game Boy Advance?|Nintendo|Nintendo DS
What is the name of the home planet of Fox McCloud in the Star Fox series?|Nintendo|Corneria
What company developed the Super Smash Bros. series?|Nintendo|HAL Laboratory
Which Pokémon is known as the 'Electric Mouse Pokémon'?|Pokemon|Pikachu
What type of Pokémon is Charizard?|Pokemon|Fire/Flying
What is the main goal for a Pokémon trainer in the games?|Pokemon|To become the Pokémon League Champion
What is the name of the criminal organization led by Giovanni in the Kanto region?|Pokemon|Team Rocket
Which Pokémon is number one in the National Pokédex?|Pokemon|Bulbasaur
What item do you use to catch wild Pokémon?|Pokemon|Poké Ball
What is the collective name for the legendary bird trio of Kanto?|Pokemon|Articuno, Zapdos, and Moltres|zapdos, articuno, moltres
What do you call the process of a Pokémon changing its form?|Pokemon|Evolution
Which city is home to the first gym a player challenges in the Kanto region?|Pokemon|Pewter City
What is the name of Ash Ketchum's hometown?|Pokemon|Pallet Town
What is the name of the protagonist in the 'Halo' series?|Video games|Master Chief
In 'Minecraft', what is the name of the green, explosive creature?|Video games|Creeper
Which company developed the 'Grand Theft Auto' series?|Video games|Rockstar Games
What is the name of the city where 'BioShock' is primarily set?|Video games|Rapture
What weapon is the signature of Gordon Freeman in 'Half-Life'?|Video games|Crowbar
Which game features a character named 'Lara Croft'?|Video games|Tomb Raider
'The cake is a lie' is a famous phrase from which video game?|Video games|Portal
What is the name of the main character in 'The Witcher' series?|Video games|Geralt of Rivia
In the game 'Street Fighter', what is Ryu's signature move?|Video games|Hadouken
Which game popularized the Battle Royale genre?|Video games|PlayerUnknown's Battlegrounds
What company manufactures the PlayStation console?|Playstation|Sony
What is the name of the protagonist in the 'God of War' series?|Playstation|Kratos
Which PlayStation exclusive series features treasure hunter Nathan Drake?|Playstation|Uncharted
What is the name of the main character in 'The Last of Us'?|Playstation|Joel Miller
What was the codename for the original PlayStation console during development?|Playstation|PSX
